var,coef,stderr,tstat,pval,ci_lower,ci_upper,N,k_margins,numeric,is_xb1,deriv1,j1_1,j2_1,outcomeIsEq1,k_predict,k_by,k_at,marg_dims,title,model_vce,model_vcetype,vce,vcetype,margins,predict_label,expression,predict1_label,emptycells,predict,est_cmd,est_cmdline,est_depvar,cmdline,properties,cmd,_estimates_name,y,x,est
"1bn.kon",.00020126648,3.4551952e-06,58.250393,0,.00019449442,.00020803853,35772524,3,0,0,0,0,0,0,1,1,0,"kon ar_2020 _term","Predictive margins","cluster","Robust","delta","Delta-method","i(1 2)b1.kon i(0 1)b0.ar_2020 1b.kon#0b.ar_2020 1b.kon#1o.ar_2020 2o.kon#0b.ar_2020 2.kon#1.ar_2020","Linear prediction","predict()","Linear prediction","strict","_no_predict","reghdfe","reghdfe cdead_hosp ib1.land##ib0.ar_2020 ib1.utbildning##ib0.ar_2020 ib1.inkomst##ib0.ar_2020 ib1.kon##ib0.ar_2020 if inlist(ar, 2016, 2017, 2018, 2019, 2020) , vce(cluster lopnr) absorb(region alder_kat)","cdead_hosp","margins kon##ar_2020, grand post","b V","margins","cdead_hosp_kon","cdead_hosp","kon","onemodel_full_population"
"2.kon",.000088504661,2.3579803e-06,37.534096,0,.000083883104,.000093126218,35772524,3,0,0,0,0,0,0,1,1,0,"kon ar_2020 _term","Predictive margins","cluster","Robust","delta","Delta-method","i(1 2)b1.kon i(0 1)b0.ar_2020 1b.kon#0b.ar_2020 1b.kon#1o.ar_2020 2o.kon#0b.ar_2020 2.kon#1.ar_2020","Linear prediction","predict()","Linear prediction","strict","_no_predict","reghdfe","reghdfe cdead_hosp ib1.land##ib0.ar_2020 ib1.utbildning##ib0.ar_2020 ib1.inkomst##ib0.ar_2020 ib1.kon##ib0.ar_2020 if inlist(ar, 2016, 2017, 2018, 2019, 2020) , vce(cluster lopnr) absorb(region alder_kat)","cdead_hosp","margins kon##ar_2020, grand post","b V","margins","cdead_hosp_kon","cdead_hosp","kon","onemodel_full_population"
"0bn.ar_2020",1.7052631e-06,1.1747989e-07,14.515362,0,1.4750068e-06,1.9355195e-06,35772524,3,0,0,0,0,0,0,1,1,0,"kon ar_2020 _term","Predictive margins","cluster","Robust","delta","Delta-method","i(1 2)b1.kon i(0 1)b0.ar_2020 1b.kon#0b.ar_2020 1b.kon#1o.ar_2020 2o.kon#0b.ar_2020 2.kon#1.ar_2020","Linear prediction","predict()","Linear prediction","strict","_no_predict","reghdfe","reghdfe cdead_hosp ib1.land##ib0.ar_2020 ib1.utbildning##ib0.ar_2020 ib1.inkomst##ib0.ar_2020 ib1.kon##ib0.ar_2020 if inlist(ar, 2016, 2017, 2018, 2019, 2020) , vce(cluster lopnr) absorb(region alder_kat)","cdead_hosp","margins kon##ar_2020, grand post","b V","margins","cdead_hosp_kon","cdead_hosp","kon","onemodel_full_population"
"1.ar_2020",.0007137144,9.9349954e-06,71.838425,0,.00069424219,.00073318661,35772524,3,0,0,0,0,0,0,1,1,0,"kon ar_2020 _term","Predictive margins","cluster","Robust","delta","Delta-method","i(1 2)b1.kon i(0 1)b0.ar_2020 1b.kon#0b.ar_2020 1b.kon#1o.ar_2020 2o.kon#0b.ar_2020 2.kon#1.ar_2020","Linear prediction","predict()","Linear prediction","strict","_no_predict","reghdfe","reghdfe cdead_hosp ib1.land##ib0.ar_2020 ib1.utbildning##ib0.ar_2020 ib1.inkomst##ib0.ar_2020 ib1.kon##ib0.ar_2020 if inlist(ar, 2016, 2017, 2018, 2019, 2020) , vce(cluster lopnr) absorb(region alder_kat)","cdead_hosp","margins kon##ar_2020, grand post","b V","margins","cdead_hosp_kon","cdead_hosp","kon","onemodel_full_population"
"1bn.kon#0bn.ar_2020",.000034782592,6.2734767e-07,55.443886,0,.000033553013,.00003601217,35772524,3,0,0,0,0,0,0,1,1,0,"kon ar_2020 _term","Predictive margins","cluster","Robust","delta","Delta-method","i(1 2)b1.kon i(0 1)b0.ar_2020 1b.kon#0b.ar_2020 1b.kon#1o.ar_2020 2o.kon#0b.ar_2020 2.kon#1.ar_2020","Linear prediction","predict()","Linear prediction","strict","_no_predict","reghdfe","reghdfe cdead_hosp ib1.land##ib0.ar_2020 ib1.utbildning##ib0.ar_2020 ib1.inkomst##ib0.ar_2020 ib1.kon##ib0.ar_2020 if inlist(ar, 2016, 2017, 2018, 2019, 2020) , vce(cluster lopnr) absorb(region alder_kat)","cdead_hosp","margins kon##ar_2020, grand post","b V","margins","cdead_hosp_kon","cdead_hosp","kon","onemodel_full_population"
"1bn.kon#1.ar_2020",.00086268835,.000015555428,55.458992,0,.00083220028,.00089317642,35772524,3,0,0,0,0,0,0,1,1,0,"kon ar_2020 _term","Predictive margins","cluster","Robust","delta","Delta-method","i(1 2)b1.kon i(0 1)b0.ar_2020 1b.kon#0b.ar_2020 1b.kon#1o.ar_2020 2o.kon#0b.ar_2020 2.kon#1.ar_2020","Linear prediction","predict()","Linear prediction","strict","_no_predict","reghdfe","reghdfe cdead_hosp ib1.land##ib0.ar_2020 ib1.utbildning##ib0.ar_2020 ib1.inkomst##ib0.ar_2020 ib1.kon##ib0.ar_2020 if inlist(ar, 2016, 2017, 2018, 2019, 2020) , vce(cluster lopnr) absorb(region alder_kat)","cdead_hosp","margins kon##ar_2020, grand post","b V","margins","cdead_hosp_kon","cdead_hosp","kon","onemodel_full_population"
"2.kon#0bn.ar_2020",-.000030831783,5.9161340e-07,-52.114746,0,-.000031991323,-.000029672243,35772524,3,0,0,0,0,0,0,1,1,0,"kon ar_2020 _term","Predictive margins","cluster","Robust","delta","Delta-method","i(1 2)b1.kon i(0 1)b0.ar_2020 1b.kon#0b.ar_2020 1b.kon#1o.ar_2020 2o.kon#0b.ar_2020 2.kon#1.ar_2020","Linear prediction","predict()","Linear prediction","strict","_no_predict","reghdfe","reghdfe cdead_hosp ib1.land##ib0.ar_2020 ib1.utbildning##ib0.ar_2020 ib1.inkomst##ib0.ar_2020 ib1.kon##ib0.ar_2020 if inlist(ar, 2016, 2017, 2018, 2019, 2020) , vce(cluster lopnr) absorb(region alder_kat)","cdead_hosp","margins kon##ar_2020, grand post","b V","margins","cdead_hosp_kon","cdead_hosp","kon","onemodel_full_population"
"2.kon#1.ar_2020",.00056717376,.000012700983,44.655895,0,.00054228026,.00059206726,35772524,3,0,0,0,0,0,0,1,1,0,"kon ar_2020 _term","Predictive margins","cluster","Robust","delta","Delta-method","i(1 2)b1.kon i(0 1)b0.ar_2020 1b.kon#0b.ar_2020 1b.kon#1o.ar_2020 2o.kon#0b.ar_2020 2.kon#1.ar_2020","Linear prediction","predict()","Linear prediction","strict","_no_predict","reghdfe","reghdfe cdead_hosp ib1.land##ib0.ar_2020 ib1.utbildning##ib0.ar_2020 ib1.inkomst##ib0.ar_2020 ib1.kon##ib0.ar_2020 if inlist(ar, 2016, 2017, 2018, 2019, 2020) , vce(cluster lopnr) absorb(region alder_kat)","cdead_hosp","margins kon##ar_2020, grand post","b V","margins","cdead_hosp_kon","cdead_hosp","kon","onemodel_full_population"
"_cons",.00014446842,2.0054904e-06,72.036453,0,.00014053773,.00014839911,35772524,3,0,0,0,0,0,0,1,1,0,"kon ar_2020 _term","Predictive margins","cluster","Robust","delta","Delta-method","i(1 2)b1.kon i(0 1)b0.ar_2020 1b.kon#0b.ar_2020 1b.kon#1o.ar_2020 2o.kon#0b.ar_2020 2.kon#1.ar_2020","Linear prediction","predict()","Linear prediction","strict","_no_predict","reghdfe","reghdfe cdead_hosp ib1.land##ib0.ar_2020 ib1.utbildning##ib0.ar_2020 ib1.inkomst##ib0.ar_2020 ib1.kon##ib0.ar_2020 if inlist(ar, 2016, 2017, 2018, 2019, 2020) , vce(cluster lopnr) absorb(region alder_kat)","cdead_hosp","margins kon##ar_2020, grand post","b V","margins","cdead_hosp_kon","cdead_hosp","kon","onemodel_full_population"
"1bn.kon",.0018061879,.00001046673,172.56468,0,.0017856736,.0018267023,35253644,3,0,0,0,0,0,0,1,1,0,"kon ar_2020 _term","Predictive margins","cluster","Robust","delta","Delta-method","i(1 2)b1.kon i(0 1)b0.ar_2020 1b.kon#0b.ar_2020 1b.kon#1o.ar_2020 2o.kon#0b.ar_2020 2.kon#1.ar_2020","Linear prediction","predict()","Linear prediction","strict","_no_predict","reghdfe","reghdfe pos_unemp ib1.land##ib0.ar_2020 ib1.utbildning##ib0.ar_2020 ib1.inkomst##ib0.ar_2020 ib1.kon##ib0.ar_2020 if inlist(ar, 2016, 2017, 2018, 2019, 2020) , vce(cluster lopnr) absorb(region alder_kat)","pos_unemp","margins kon##ar_2020, grand post","b V","margins","pos_unemp_kon","pos_unemp","kon","onemodel_full_population"
