var,coef,stderr,tstat,pval,ci_lower,ci_upper,N,r2,rank,df_r,N_hdfe,N_hdfe_extended,df_a,df_a_initial,df_a_redundant,df_a_nested,ic,drop_singletons,num_singletons,N_full,df_m,tss,tss_within,rss,mss,rmse,F,ll,ll_0,r2_within,r2_a,r2_a_within,N_clust,N_clust1,sumweights,report_constant,N_clustervars,_estimates_name,cmd,properties,dofmethod,absvars,extended_absvars,predict,estat_cmd,footnote,marginsnotok,title,title2,cmdline,title3,depvar,indepvars,clustvar,clustvar1,vcetype,vce,y,x,est
"1b.kon",0,0,,,0,0,35772528,.0013518402,3,,2,2,38,39,1,0,4,1,1,,3,5167.2534,5163.3716,5160.2681,6.985301,.012010514,1724.0002,107426144,107415392,.00060104305,.0013507236,.00060095923,,,,1,1,"cdead_hosp_kon","reghdfe","b V","pairwise clusters continuous","region alder_kat","region alder_kat","reghdfe_p","reghdfe_estat","reghdfe_footnote","Residuals SCore","HDFE Linear regression","Absorbing 2 HDFE groups","reghdfe cdead_hosp ib1.kon##ib0.ar_2020 if inlist(ar, 2016, 2017, 2018, 2019, 2020) , vce(cluster lopnr) absorb(region alder_kat)","Statistics robust to heteroskedasticity","cdead_hosp","2bn.kon 1bn.ar_2020 2bn.kon#1bn.ar_2020 _cons","lopnr","lopnr","Robust","cluster","cdead_hosp","kon","onemodel_full_population"
"2.kon",-.000044211502,8.6572334e-07,-51.068859,0,-.000045908288,-.000042514715,35772528,.0013518402,3,,2,2,38,39,1,0,4,1,1,,3,5167.2534,5163.3716,5160.2681,6.985301,.012010514,1724.0002,107426144,107415392,.00060104305,.0013507236,.00060095923,,,,1,1,"cdead_hosp_kon","reghdfe","b V","pairwise clusters continuous","region alder_kat","region alder_kat","reghdfe_p","reghdfe_estat","reghdfe_footnote","Residuals SCore","HDFE Linear regression","Absorbing 2 HDFE groups","reghdfe cdead_hosp ib1.kon##ib0.ar_2020 if inlist(ar, 2016, 2017, 2018, 2019, 2020) , vce(cluster lopnr) absorb(region alder_kat)","Statistics robust to heteroskedasticity","cdead_hosp","2bn.kon 1bn.ar_2020 2bn.kon#1bn.ar_2020 _cons","lopnr","lopnr","Robust","cluster","cdead_hosp","kon","onemodel_full_population"
"0b.ar_2020",0,0,,,0,0,35772528,.0013518402,3,,2,2,38,39,1,0,4,1,1,,3,5167.2534,5163.3716,5160.2681,6.985301,.012010514,1724.0002,107426144,107415392,.00060104305,.0013507236,.00060095923,,,,1,1,"cdead_hosp_kon","reghdfe","b V","pairwise clusters continuous","region alder_kat","region alder_kat","reghdfe_p","reghdfe_estat","reghdfe_footnote","Residuals SCore","HDFE Linear regression","Absorbing 2 HDFE groups","reghdfe cdead_hosp ib1.kon##ib0.ar_2020 if inlist(ar, 2016, 2017, 2018, 2019, 2020) , vce(cluster lopnr) absorb(region alder_kat)","Statistics robust to heteroskedasticity","cdead_hosp","2bn.kon 1bn.ar_2020 2bn.kon#1bn.ar_2020 _cons","lopnr","lopnr","Robust","cluster","cdead_hosp","kon","onemodel_full_population"
"1.ar_2020",.00085445907,.000015294607,55.866692,0,.00082448218,.00088443595,35772528,.0013518402,3,,2,2,38,39,1,0,4,1,1,,3,5167.2534,5163.3716,5160.2681,6.985301,.012010514,1724.0002,107426144,107415392,.00060104305,.0013507236,.00060095923,,,,1,1,"cdead_hosp_kon","reghdfe","b V","pairwise clusters continuous","region alder_kat","region alder_kat","reghdfe_p","reghdfe_estat","reghdfe_footnote","Residuals SCore","HDFE Linear regression","Absorbing 2 HDFE groups","reghdfe cdead_hosp ib1.kon##ib0.ar_2020 if inlist(ar, 2016, 2017, 2018, 2019, 2020) , vce(cluster lopnr) absorb(region alder_kat)","Statistics robust to heteroskedasticity","cdead_hosp","2bn.kon 1bn.ar_2020 2bn.kon#1bn.ar_2020 _cons","lopnr","lopnr","Robust","cluster","cdead_hosp","kon","onemodel_full_population"
"1b.kon#0b.ar_2020",0,0,,,0,0,35772528,.0013518402,3,,2,2,38,39,1,0,4,1,1,,3,5167.2534,5163.3716,5160.2681,6.985301,.012010514,1724.0002,107426144,107415392,.00060104305,.0013507236,.00060095923,,,,1,1,"cdead_hosp_kon","reghdfe","b V","pairwise clusters continuous","region alder_kat","region alder_kat","reghdfe_p","reghdfe_estat","reghdfe_footnote","Residuals SCore","HDFE Linear regression","Absorbing 2 HDFE groups","reghdfe cdead_hosp ib1.kon##ib0.ar_2020 if inlist(ar, 2016, 2017, 2018, 2019, 2020) , vce(cluster lopnr) absorb(region alder_kat)","Statistics robust to heteroskedasticity","cdead_hosp","2bn.kon 1bn.ar_2020 2bn.kon#1bn.ar_2020 _cons","lopnr","lopnr","Robust","cluster","cdead_hosp","kon","onemodel_full_population"
"1b.kon#1o.ar_2020",0,0,,,0,0,35772528,.0013518402,3,,2,2,38,39,1,0,4,1,1,,3,5167.2534,5163.3716,5160.2681,6.985301,.012010514,1724.0002,107426144,107415392,.00060104305,.0013507236,.00060095923,,,,1,1,"cdead_hosp_kon","reghdfe","b V","pairwise clusters continuous","region alder_kat","region alder_kat","reghdfe_p","reghdfe_estat","reghdfe_footnote","Residuals SCore","HDFE Linear regression","Absorbing 2 HDFE groups","reghdfe cdead_hosp ib1.kon##ib0.ar_2020 if inlist(ar, 2016, 2017, 2018, 2019, 2020) , vce(cluster lopnr) absorb(region alder_kat)","Statistics robust to heteroskedasticity","cdead_hosp","2bn.kon 1bn.ar_2020 2bn.kon#1bn.ar_2020 _cons","lopnr","lopnr","Robust","cluster","cdead_hosp","kon","onemodel_full_population"
"2o.kon#0b.ar_2020",0,0,,,0,0,35772528,.0013518402,3,,2,2,38,39,1,0,4,1,1,,3,5167.2534,5163.3716,5160.2681,6.985301,.012010514,1724.0002,107426144,107415392,.00060104305,.0013507236,.00060095923,,,,1,1,"cdead_hosp_kon","reghdfe","b V","pairwise clusters continuous","region alder_kat","region alder_kat","reghdfe_p","reghdfe_estat","reghdfe_footnote","Residuals SCore","HDFE Linear regression","Absorbing 2 HDFE groups","reghdfe cdead_hosp ib1.kon##ib0.ar_2020 if inlist(ar, 2016, 2017, 2018, 2019, 2020) , vce(cluster lopnr) absorb(region alder_kat)","Statistics robust to heteroskedasticity","cdead_hosp","2bn.kon 1bn.ar_2020 2bn.kon#1bn.ar_2020 _cons","lopnr","lopnr","Robust","cluster","cdead_hosp","kon","onemodel_full_population"
"2.kon#1.ar_2020",-.00030464507,.000019610292,-15.534959,0,-.00034308055,-.00026620959,35772528,.0013518402,3,,2,2,38,39,1,0,4,1,1,,3,5167.2534,5163.3716,5160.2681,6.985301,.012010514,1724.0002,107426144,107415392,.00060104305,.0013507236,.00060095923,,,,1,1,"cdead_hosp_kon","reghdfe","b V","pairwise clusters continuous","region alder_kat","region alder_kat","reghdfe_p","reghdfe_estat","reghdfe_footnote","Residuals SCore","HDFE Linear regression","Absorbing 2 HDFE groups","reghdfe cdead_hosp ib1.kon##ib0.ar_2020 if inlist(ar, 2016, 2017, 2018, 2019, 2020) , vce(cluster lopnr) absorb(region alder_kat)","Statistics robust to heteroskedasticity","cdead_hosp","2bn.kon 1bn.ar_2020 2bn.kon#1bn.ar_2020 _cons","lopnr","lopnr","Robust","cluster","cdead_hosp","kon","onemodel_full_population"
"_cons",.000022958369,4.4837103e-07,51.203953,0,.000022079577,.000023837161,35772528,.0013518402,3,,2,2,38,39,1,0,4,1,1,,3,5167.2534,5163.3716,5160.2681,6.985301,.012010514,1724.0002,107426144,107415392,.00060104305,.0013507236,.00060095923,,,,1,1,"cdead_hosp_kon","reghdfe","b V","pairwise clusters continuous","region alder_kat","region alder_kat","reghdfe_p","reghdfe_estat","reghdfe_footnote","Residuals SCore","HDFE Linear regression","Absorbing 2 HDFE groups","reghdfe cdead_hosp ib1.kon##ib0.ar_2020 if inlist(ar, 2016, 2017, 2018, 2019, 2020) , vce(cluster lopnr) absorb(region alder_kat)","Statistics robust to heteroskedasticity","cdead_hosp","2bn.kon 1bn.ar_2020 2bn.kon#1bn.ar_2020 _cons","lopnr","lopnr","Robust","cluster","cdead_hosp","kon","onemodel_full_population"
"1b.kon",0,0,,,0,0,35253644,.0078632254,3,,2,2,38,39,1,0,4,1,0,,3,68431.648,68410.883,67893.555,538.09344,.043884639,23073.17,60186888,60053084,.0075621209,.0078620994,.0075620366,,,,1,1,"pos_unemp_kon","reghdfe","b V","pairwise clusters continuous","region alder_kat","region alder_kat","reghdfe_p","reghdfe_estat","reghdfe_footnote","Residuals SCore","HDFE Linear regression","Absorbing 2 HDFE groups","reghdfe pos_unemp ib1.kon##ib0.ar_2020 if inlist(ar, 2016, 2017, 2018, 2019, 2020) , vce(cluster lopnr) absorb(region alder_kat)","Statistics robust to heteroskedasticity","pos_unemp","2bn.kon 1bn.ar_2020 2bn.kon#1bn.ar_2020 _cons","lopnr","lopnr","Robust","cluster","pos_unemp","kon","onemodel_full_population"
