var,coef,stderr,tstat,pval,ci_lower,ci_upper,N,r2,N_clustervars,report_constant,sumweights,N_clust1,N_clust,r2_a_within,r2_a,r2_within,ll_0,ll,F,rmse,mss,rss,tss_within,tss,df_m,N_full,num_singletons,drop_singletons,ic,df_a_nested,df_a_redundant,df_a_initial,df_a,N_hdfe_extended,N_hdfe,df_r,rank,vce,vcetype,clustvar1,clustvar,indepvars,depvar,title3,cmdline,title2,title,marginsnotok,footnote,estat_cmd,predict,extended_absvars,absvars,dofmethod,properties,cmd,_estimates_name,y,est,x
"0.land",.085465766,.0096820779,8.8272133,1.0733770e-18,.066489242,.10444229,35253644,.029734511,1,1,,,,.022015328,.029732915,.022015911,-17333832,-16941426,26940.184,.39126134,165389.3,5396810.5,5518301,5562199.5,21,,0,1,4,0,1,39,38,2,2,,21,"cluster","Robust","lopnr","lopnr","0bn.land 2bn.land 3bn.land 1bn.ar_2020 0bn.land#1bn.ar_2020 2bn.land#1bn.ar_2020 3bn.land#1bn.ar_2020 0bn.utbildning 2bn.utbildning 3bn.utbildning 0bn.utbildning#1bn.ar_2020 2bn.utbildning#1bn.ar_2020 3bn.utbildning#1bn.ar_2020 2bn.inkomst 3bn.inkomst 4bn.inkomst 2bn.inkomst#1bn.ar_2020 3bn.inkomst#1bn.ar_2020 4bn.inkomst#1bn.ar_2020 2bn.kon 2bn.kon#1bn.ar_2020 _cons","tapp_disp","Statistics robust to heteroskedasticity","reghdfe tapp_disp ib1.land##ib0.ar_2020 ib1.utbildning##ib0.ar_2020 ib1.inkomst##ib0.ar_2020 ib1.kon##ib0.ar_2020 if inlist(ar, 2016, 2017, 2018, 2019, 2020) , vce(cluster lopnr) absorb(region alder_kat)","Absorbing 2 HDFE groups","HDFE Linear regression","Residuals SCore","reghdfe_footnote","reghdfe_estat","reghdfe_p","region alder_kat","region alder_kat","pairwise clusters continuous","b V","reghdfe","tapp_disp_full","tapp_disp","onemodel_full_population",""
"1b.land",0,0,,,0,0,35253644,.029734511,1,1,,,,.022015328,.029732915,.022015911,-17333832,-16941426,26940.184,.39126134,165389.3,5396810.5,5518301,5562199.5,21,,0,1,4,0,1,39,38,2,2,,21,"cluster","Robust","lopnr","lopnr","0bn.land 2bn.land 3bn.land 1bn.ar_2020 0bn.land#1bn.ar_2020 2bn.land#1bn.ar_2020 3bn.land#1bn.ar_2020 0bn.utbildning 2bn.utbildning 3bn.utbildning 0bn.utbildning#1bn.ar_2020 2bn.utbildning#1bn.ar_2020 3bn.utbildning#1bn.ar_2020 2bn.inkomst 3bn.inkomst 4bn.inkomst 2bn.inkomst#1bn.ar_2020 3bn.inkomst#1bn.ar_2020 4bn.inkomst#1bn.ar_2020 2bn.kon 2bn.kon#1bn.ar_2020 _cons","tapp_disp","Statistics robust to heteroskedasticity","reghdfe tapp_disp ib1.land##ib0.ar_2020 ib1.utbildning##ib0.ar_2020 ib1.inkomst##ib0.ar_2020 ib1.kon##ib0.ar_2020 if inlist(ar, 2016, 2017, 2018, 2019, 2020) , vce(cluster lopnr) absorb(region alder_kat)","Absorbing 2 HDFE groups","HDFE Linear regression","Residuals SCore","reghdfe_footnote","reghdfe_estat","reghdfe_p","region alder_kat","region alder_kat","pairwise clusters continuous","b V","reghdfe","tapp_disp_full","tapp_disp","onemodel_full_population",""
"2.land",.019795055,.00027821367,71.150543,0,.019249765,.020340344,35253644,.029734511,1,1,,,,.022015328,.029732915,.022015911,-17333832,-16941426,26940.184,.39126134,165389.3,5396810.5,5518301,5562199.5,21,,0,1,4,0,1,39,38,2,2,,21,"cluster","Robust","lopnr","lopnr","0bn.land 2bn.land 3bn.land 1bn.ar_2020 0bn.land#1bn.ar_2020 2bn.land#1bn.ar_2020 3bn.land#1bn.ar_2020 0bn.utbildning 2bn.utbildning 3bn.utbildning 0bn.utbildning#1bn.ar_2020 2bn.utbildning#1bn.ar_2020 3bn.utbildning#1bn.ar_2020 2bn.inkomst 3bn.inkomst 4bn.inkomst 2bn.inkomst#1bn.ar_2020 3bn.inkomst#1bn.ar_2020 4bn.inkomst#1bn.ar_2020 2bn.kon 2bn.kon#1bn.ar_2020 _cons","tapp_disp","Statistics robust to heteroskedasticity","reghdfe tapp_disp ib1.land##ib0.ar_2020 ib1.utbildning##ib0.ar_2020 ib1.inkomst##ib0.ar_2020 ib1.kon##ib0.ar_2020 if inlist(ar, 2016, 2017, 2018, 2019, 2020) , vce(cluster lopnr) absorb(region alder_kat)","Absorbing 2 HDFE groups","HDFE Linear regression","Residuals SCore","reghdfe_footnote","reghdfe_estat","reghdfe_p","region alder_kat","region alder_kat","pairwise clusters continuous","b V","reghdfe","tapp_disp_full","tapp_disp","onemodel_full_population",""
"3.land",.062089138,.00031114931,199.54773,0,.061479297,.062698983,35253644,.029734511,1,1,,,,.022015328,.029732915,.022015911,-17333832,-16941426,26940.184,.39126134,165389.3,5396810.5,5518301,5562199.5,21,,0,1,4,0,1,39,38,2,2,,21,"cluster","Robust","lopnr","lopnr","0bn.land 2bn.land 3bn.land 1bn.ar_2020 0bn.land#1bn.ar_2020 2bn.land#1bn.ar_2020 3bn.land#1bn.ar_2020 0bn.utbildning 2bn.utbildning 3bn.utbildning 0bn.utbildning#1bn.ar_2020 2bn.utbildning#1bn.ar_2020 3bn.utbildning#1bn.ar_2020 2bn.inkomst 3bn.inkomst 4bn.inkomst 2bn.inkomst#1bn.ar_2020 3bn.inkomst#1bn.ar_2020 4bn.inkomst#1bn.ar_2020 2bn.kon 2bn.kon#1bn.ar_2020 _cons","tapp_disp","Statistics robust to heteroskedasticity","reghdfe tapp_disp ib1.land##ib0.ar_2020 ib1.utbildning##ib0.ar_2020 ib1.inkomst##ib0.ar_2020 ib1.kon##ib0.ar_2020 if inlist(ar, 2016, 2017, 2018, 2019, 2020) , vce(cluster lopnr) absorb(region alder_kat)","Absorbing 2 HDFE groups","HDFE Linear regression","Residuals SCore","reghdfe_footnote","reghdfe_estat","reghdfe_p","region alder_kat","region alder_kat","pairwise clusters continuous","b V","reghdfe","tapp_disp_full","tapp_disp","onemodel_full_population",""
"0b.ar_2020",0,0,,,0,0,35253644,.029734511,1,1,,,,.022015328,.029732915,.022015911,-17333832,-16941426,26940.184,.39126134,165389.3,5396810.5,5518301,5562199.5,21,,0,1,4,0,1,39,38,2,2,,21,"cluster","Robust","lopnr","lopnr","0bn.land 2bn.land 3bn.land 1bn.ar_2020 0bn.land#1bn.ar_2020 2bn.land#1bn.ar_2020 3bn.land#1bn.ar_2020 0bn.utbildning 2bn.utbildning 3bn.utbildning 0bn.utbildning#1bn.ar_2020 2bn.utbildning#1bn.ar_2020 3bn.utbildning#1bn.ar_2020 2bn.inkomst 3bn.inkomst 4bn.inkomst 2bn.inkomst#1bn.ar_2020 3bn.inkomst#1bn.ar_2020 4bn.inkomst#1bn.ar_2020 2bn.kon 2bn.kon#1bn.ar_2020 _cons","tapp_disp","Statistics robust to heteroskedasticity","reghdfe tapp_disp ib1.land##ib0.ar_2020 ib1.utbildning##ib0.ar_2020 ib1.inkomst##ib0.ar_2020 ib1.kon##ib0.ar_2020 if inlist(ar, 2016, 2017, 2018, 2019, 2020) , vce(cluster lopnr) absorb(region alder_kat)","Absorbing 2 HDFE groups","HDFE Linear regression","Residuals SCore","reghdfe_footnote","reghdfe_estat","reghdfe_p","region alder_kat","region alder_kat","pairwise clusters continuous","b V","reghdfe","tapp_disp_full","tapp_disp","onemodel_full_population",""
"1.ar_2020",.020521957,.00050864299,40.346485,0,.019525036,.021518879,35253644,.029734511,1,1,,,,.022015328,.029732915,.022015911,-17333832,-16941426,26940.184,.39126134,165389.3,5396810.5,5518301,5562199.5,21,,0,1,4,0,1,39,38,2,2,,21,"cluster","Robust","lopnr","lopnr","0bn.land 2bn.land 3bn.land 1bn.ar_2020 0bn.land#1bn.ar_2020 2bn.land#1bn.ar_2020 3bn.land#1bn.ar_2020 0bn.utbildning 2bn.utbildning 3bn.utbildning 0bn.utbildning#1bn.ar_2020 2bn.utbildning#1bn.ar_2020 3bn.utbildning#1bn.ar_2020 2bn.inkomst 3bn.inkomst 4bn.inkomst 2bn.inkomst#1bn.ar_2020 3bn.inkomst#1bn.ar_2020 4bn.inkomst#1bn.ar_2020 2bn.kon 2bn.kon#1bn.ar_2020 _cons","tapp_disp","Statistics robust to heteroskedasticity","reghdfe tapp_disp ib1.land##ib0.ar_2020 ib1.utbildning##ib0.ar_2020 ib1.inkomst##ib0.ar_2020 ib1.kon##ib0.ar_2020 if inlist(ar, 2016, 2017, 2018, 2019, 2020) , vce(cluster lopnr) absorb(region alder_kat)","Absorbing 2 HDFE groups","HDFE Linear regression","Residuals SCore","reghdfe_footnote","reghdfe_estat","reghdfe_p","region alder_kat","region alder_kat","pairwise clusters continuous","b V","reghdfe","tapp_disp_full","tapp_disp","onemodel_full_population",""
"0o.land#0b.ar_2020",0,0,,,0,0,35253644,.029734511,1,1,,,,.022015328,.029732915,.022015911,-17333832,-16941426,26940.184,.39126134,165389.3,5396810.5,5518301,5562199.5,21,,0,1,4,0,1,39,38,2,2,,21,"cluster","Robust","lopnr","lopnr","0bn.land 2bn.land 3bn.land 1bn.ar_2020 0bn.land#1bn.ar_2020 2bn.land#1bn.ar_2020 3bn.land#1bn.ar_2020 0bn.utbildning 2bn.utbildning 3bn.utbildning 0bn.utbildning#1bn.ar_2020 2bn.utbildning#1bn.ar_2020 3bn.utbildning#1bn.ar_2020 2bn.inkomst 3bn.inkomst 4bn.inkomst 2bn.inkomst#1bn.ar_2020 3bn.inkomst#1bn.ar_2020 4bn.inkomst#1bn.ar_2020 2bn.kon 2bn.kon#1bn.ar_2020 _cons","tapp_disp","Statistics robust to heteroskedasticity","reghdfe tapp_disp ib1.land##ib0.ar_2020 ib1.utbildning##ib0.ar_2020 ib1.inkomst##ib0.ar_2020 ib1.kon##ib0.ar_2020 if inlist(ar, 2016, 2017, 2018, 2019, 2020) , vce(cluster lopnr) absorb(region alder_kat)","Absorbing 2 HDFE groups","HDFE Linear regression","Residuals SCore","reghdfe_footnote","reghdfe_estat","reghdfe_p","region alder_kat","region alder_kat","pairwise clusters continuous","b V","reghdfe","tapp_disp_full","tapp_disp","onemodel_full_population",""
"0.land#1.ar_2020",.0067304103,.018421123,.36536375,.71483994,-.029374333,.042835154,35253644,.029734511,1,1,,,,.022015328,.029732915,.022015911,-17333832,-16941426,26940.184,.39126134,165389.3,5396810.5,5518301,5562199.5,21,,0,1,4,0,1,39,38,2,2,,21,"cluster","Robust","lopnr","lopnr","0bn.land 2bn.land 3bn.land 1bn.ar_2020 0bn.land#1bn.ar_2020 2bn.land#1bn.ar_2020 3bn.land#1bn.ar_2020 0bn.utbildning 2bn.utbildning 3bn.utbildning 0bn.utbildning#1bn.ar_2020 2bn.utbildning#1bn.ar_2020 3bn.utbildning#1bn.ar_2020 2bn.inkomst 3bn.inkomst 4bn.inkomst 2bn.inkomst#1bn.ar_2020 3bn.inkomst#1bn.ar_2020 4bn.inkomst#1bn.ar_2020 2bn.kon 2bn.kon#1bn.ar_2020 _cons","tapp_disp","Statistics robust to heteroskedasticity","reghdfe tapp_disp ib1.land##ib0.ar_2020 ib1.utbildning##ib0.ar_2020 ib1.inkomst##ib0.ar_2020 ib1.kon##ib0.ar_2020 if inlist(ar, 2016, 2017, 2018, 2019, 2020) , vce(cluster lopnr) absorb(region alder_kat)","Absorbing 2 HDFE groups","HDFE Linear regression","Residuals SCore","reghdfe_footnote","reghdfe_estat","reghdfe_p","region alder_kat","region alder_kat","pairwise clusters continuous","b V","reghdfe","tapp_disp_full","tapp_disp","onemodel_full_population",""
"1b.land#0b.ar_2020",0,0,,,0,0,35253644,.029734511,1,1,,,,.022015328,.029732915,.022015911,-17333832,-16941426,26940.184,.39126134,165389.3,5396810.5,5518301,5562199.5,21,,0,1,4,0,1,39,38,2,2,,21,"cluster","Robust","lopnr","lopnr","0bn.land 2bn.land 3bn.land 1bn.ar_2020 0bn.land#1bn.ar_2020 2bn.land#1bn.ar_2020 3bn.land#1bn.ar_2020 0bn.utbildning 2bn.utbildning 3bn.utbildning 0bn.utbildning#1bn.ar_2020 2bn.utbildning#1bn.ar_2020 3bn.utbildning#1bn.ar_2020 2bn.inkomst 3bn.inkomst 4bn.inkomst 2bn.inkomst#1bn.ar_2020 3bn.inkomst#1bn.ar_2020 4bn.inkomst#1bn.ar_2020 2bn.kon 2bn.kon#1bn.ar_2020 _cons","tapp_disp","Statistics robust to heteroskedasticity","reghdfe tapp_disp ib1.land##ib0.ar_2020 ib1.utbildning##ib0.ar_2020 ib1.inkomst##ib0.ar_2020 ib1.kon##ib0.ar_2020 if inlist(ar, 2016, 2017, 2018, 2019, 2020) , vce(cluster lopnr) absorb(region alder_kat)","Absorbing 2 HDFE groups","HDFE Linear regression","Residuals SCore","reghdfe_footnote","reghdfe_estat","reghdfe_p","region alder_kat","region alder_kat","pairwise clusters continuous","b V","reghdfe","tapp_disp_full","tapp_disp","onemodel_full_population",""
"1b.land#1o.ar_2020",0,0,,,0,0,35253644,.029734511,1,1,,,,.022015328,.029732915,.022015911,-17333832,-16941426,26940.184,.39126134,165389.3,5396810.5,5518301,5562199.5,21,,0,1,4,0,1,39,38,2,2,,21,"cluster","Robust","lopnr","lopnr","0bn.land 2bn.land 3bn.land 1bn.ar_2020 0bn.land#1bn.ar_2020 2bn.land#1bn.ar_2020 3bn.land#1bn.ar_2020 0bn.utbildning 2bn.utbildning 3bn.utbildning 0bn.utbildning#1bn.ar_2020 2bn.utbildning#1bn.ar_2020 3bn.utbildning#1bn.ar_2020 2bn.inkomst 3bn.inkomst 4bn.inkomst 2bn.inkomst#1bn.ar_2020 3bn.inkomst#1bn.ar_2020 4bn.inkomst#1bn.ar_2020 2bn.kon 2bn.kon#1bn.ar_2020 _cons","tapp_disp","Statistics robust to heteroskedasticity","reghdfe tapp_disp ib1.land##ib0.ar_2020 ib1.utbildning##ib0.ar_2020 ib1.inkomst##ib0.ar_2020 ib1.kon##ib0.ar_2020 if inlist(ar, 2016, 2017, 2018, 2019, 2020) , vce(cluster lopnr) absorb(region alder_kat)","Absorbing 2 HDFE groups","HDFE Linear regression","Residuals SCore","reghdfe_footnote","reghdfe_estat","reghdfe_p","region alder_kat","region alder_kat","pairwise clusters continuous","b V","reghdfe","tapp_disp_full","tapp_disp","onemodel_full_population",""
