week ,elective ,emergency ,hospitalizations
   1 ,      24 ,       90 ,               0
   2 ,      76 ,       97 ,               0
   3 ,     100 ,      100 ,               0
   4 ,     100 ,      101 ,               0
   5 ,     100 ,      101 ,
   6 ,      99 ,       98 ,
   7 ,      96 ,       98 ,
   8 ,      96 ,      103 ,
   9 ,      96 ,      102 ,              15
  10 ,      98 ,      102 ,              60
  11 ,      97 ,       98 ,             166
  12 ,      65 ,       98 ,             798
  13 ,      50 ,       87 ,            2157
  14 ,      40 ,       82 ,            3723
  15 ,      30 ,       84 ,            4503
  16 ,      27 ,       86 ,            4726
  17 ,      35 ,       95 ,            4536
  18 ,      34 ,       88 ,            4143
  19 ,      40 ,       94 ,            3777
  20 ,      44 ,       97 ,            3328
  21 ,      36 ,       93 ,            3047
  22 ,      50 ,       97 ,            2986
  23 ,      50 ,       99 ,            2775
  24 ,      51 ,      100 ,            2415
  25 ,      41 ,       98 ,            2085
  26 ,      37 ,      100 ,            1727
  27 ,      34 ,       97 ,            1258
  28 ,      31 ,       94 ,             795
  29 ,      28 ,       92 ,             542
  30 ,      28 ,       96 ,             431
  31 ,      27 ,       89 ,             358
  32 ,      30 ,       98 ,             308
  33 ,      35 ,       96 ,             291
  34 ,      54 ,       99 ,             289
  35 ,      64 ,       98 ,             234
  36 ,      76 ,       99 ,             186
  37 ,      80 ,       97 ,             220
  38 ,      83 ,       97 ,             236
  39 ,      85 ,       98 ,             245
  40 ,      91 ,       97 ,             290
  41 ,      93 ,      101 ,             379
  42 ,      93 ,       98 ,             476
  43 ,      94 ,       98 ,             657
  44 ,      78 ,       96 ,            1015
  45 ,      93 ,       96 ,            1890
  46 ,      88 ,       93 ,            2652
  47 ,      82 ,       92 ,            3449
  48 ,      79 ,       91 ,            3940
  49 ,      75 ,       93 ,            4043
  50 ,      74 ,       90 ,            4460
  51 ,      69 ,       95 ,            4901
  52 ,      25 ,       87 ,            5121
  53 ,      15 ,       80 ,            5342
